sample,UMAP1,UMAP2,cancer_type,immune_hallmark_mean,sustained_hallmark_mean,key_gene_expression
TCGA-49-6744-01A-11R-1858-07,2.0274558,4.905109,LUAD,5.515329127476928,5.601782687098785,4.5533272534732
TCGA-4B-A93V-01A-11R-A39D-07,5.526708,2.4551528,LUAD,4.318422727498588,4.864817924106176,2.6995371806949837
TCGA-44-2661-01A-01R-1107-07,3.6918037,2.0591342,LUAD,5.2296933978944935,4.8100399852863935,4.22189193165375
TCGA-05-4396-01A-21R-1858-07,5.2794943,3.9736109,LUAD,4.3589007504434605,5.762526590882486,4.729214765781766
TCGA-91-A4BD-01A-11R-A24H-07,4.2598605,1.8503325,LUAD,4.039715918102066,4.394013730959373,2.5875071200420723
TCGA-55-6975-01A-11R-1949-07,5.7836733,5.1822987,LUAD,4.362858072200534,5.73083519650616,4.40269845788778
TCGA-49-6761-01A-31R-1949-07,3.0033076,3.8064673,LUAD,5.036041747579551,5.713246087319828,7.143699859741158
TCGA-MP-A4TF-01A-11R-A262-07,3.4177997,5.469811,LUAD,4.98784492065887,6.183297789230395,6.791381987514432
TCGA-44-2656-01B-06R-A277-07,1.9114333,5.680442,LUAD,5.892228572549766,6.146260956555022,7.64599515599159
TCGA-44-3918-01A-01R-A278-07,1.4426627,5.6413884,LUAD,5.750220307265807,5.6013207296687035,5.320872557841143
TCGA-55-A57B-01A-12R-A39D-07,2.8348787,5.759432,LUAD,5.14657039094787,5.929842491993947,7.309756156230076
TCGA-62-A46Y-01A-11R-A24H-07,3.0813262,3.2273548,LUAD,5.062848738076674,5.29167836658621,4.69655683250783
TCGA-49-AAR2-01A-11R-A39D-07,4.7024355,1.9483429,LUAD,4.249131917776624,4.619574473530179,0.5689336379221327
TCGA-05-5423-01A-01R-1628-07,3.6656709,1.9014434,LUAD,4.655252397331298,4.871498464154957,4.372051522008014
TCGA-91-A4BC-01A-11R-A24H-07,2.2979798,4.0240355,LUAD,5.824114534552382,5.233566557482083,2.6665423745265677
TCGA-86-8056-01A-11R-2241-07,2.729825,6.0315742,LUAD,4.939724508180557,6.049038582935997,5.145731468853868
TCGA-49-6745-01A-11R-1858-07,3.0349655,5.12612,LUAD,5.357751662236945,6.1334454566934,5.402716563874167
TCGA-55-8096-01A-11R-2241-07,4.0221543,5.1451445,LUAD,4.8774469514482375,5.655176122274485,7.135897640796641
TCGA-44-6774-01A-21R-1858-07,4.481798,5.3024836,LUAD,4.969157468720308,5.6318989423728105,4.25673087470832
TCGA-05-4402-01A-01R-1206-07,3.7051115,5.0928545,LUAD,4.902290645351408,5.783418232712848,6.353374165380549
TCGA-69-7761-01A-11R-2170-07,1.6731615,4.4702506,LUAD,5.903589373287401,5.972003040651113,4.101244462430789
